,gdp_level,gdp_growth,cpi_level,cpi_growth,wb_gdp_growth_pct,wb_cpi_inflation_pct,wb_unemployment_pct,wb_trade_bal_gdp_pct,wb_gross_savings_pct,recession,covid_shock,quarter
2016-07-01,3035755.83,2.3553793990194194,106.47113333333334,1.4475612427915507,8.25630550179086,4.94821634062141,7.611,-1.76601589208677,31.7264147403683,0,0,3
2016-10-01,3079621.61,1.4346304144279287,105.83356666666667,-0.6006165509274908,8.25630550179086,4.94821634062141,7.611,-1.76601589208677,31.7264147403683,0,0,4
2017-01-01,3227728.31,4.697184465660165,104.94099999999999,-0.84694469186406,6.79538341897911,3.32817337461298,7.626,-3.15896727592607,31.7067531706123,0,0,1
2017-04-01,3146336.28,-2.553988998467638,106.47113333333334,1.4475612427915507,6.79538341897911,3.32817337461298,7.626,-3.15896727592607,31.7067531706123,0,0,2
2017-07-01,3197195.49,1.6035325945301437,109.02140000000001,2.367029333821691,6.79538341897911,3.32817337461298,7.626,-3.15896727592607,31.7067531706123,0,0,3
2017-10-01,3284991.66,2.709009696111764,109.78643333333332,0.6992770223192224,6.79538341897911,3.32817337461298,7.626,-3.15896727592607,31.7067531706123,0,0,4
2018-01-01,3516058.35,6.797646212779895,109.91393333333333,0.11606718390879678,6.45385134497769,3.9388264669163,7.652,-3.76131213467656,31.4104922311412,0,0,1
2018-04-01,3382300.83,-3.8784378402571207,110.67900000000002,0.6936484525503772,6.45385134497769,3.9388264669163,7.652,-3.76131213467656,31.4104922311412,0,0,2
2018-07-01,3403644.19,0.6290481374977119,115.1419,3.9531160939787036,6.45385134497769,3.9388264669163,7.652,-3.76131213467656,31.4104922311412,0,0,3
2018-10-01,3489760.89,2.4986542752467145,115.3969,0.22122098665793288,6.45385134497769,3.9388264669163,7.652,-3.76131213467656,31.4104922311412,0,0,4
2019-01-01,3717210.04,6.314017668187155,117.69203333333333,1.969383513928591,3.87143694070356,3.72950573539129,6.51,-2.57687373613013,29.7022005792949,0,0,1
2019-04-01,3548958.48,-4.631922312934478,120.11476666666665,2.037634885492512,3.87143694070356,3.72950573539129,6.51,-2.57687373613013,29.7022005792949,0,0,2
2019-07-01,3546222.83,-0.07711290285730144,122.53743333333334,1.9968886914087491,3.87143694070356,3.72950573539129,6.51,-2.57687373613013,29.7022005792949,0,0,3
2019-10-01,3599695.64,1.496625194634582,125.3427,2.2635024435332163,3.87143694070356,3.72950573539129,6.51,-2.57687373613013,29.7022005792949,0,0,4
2020-01-01,3821080.71,5.9683993540881275,125.47019999999999,0.10166942049849581,-5.77772470686801,6.62343677628535,7.859,-0.393151469925627,28.6796821131572,0,0,1
2020-04-01,2703597.88,-34.59498568803294,126.36276666666667,0.7088590631804337,-5.77772470686801,6.62343677628535,7.859,-0.393151469925627,28.6796821131572,1,1,2
2020-07-01,3310929.82,20.264562822309173,129.3146,2.309132429455918,-5.77772470686801,6.62343677628535,7.859,-0.393151469925627,28.6796821131572,0,0,3
2020-10-01,3626220.2,9.096177623661639,131.55013333333332,1.713982593886687,-5.77772470686801,6.62343677628535,7.859,-0.393151469925627,28.6796821131572,0,0,4
2021-01-01,3917725.21,7.732034322585868,131.03596666666667,-0.3916180816819548,9.68959249192875,5.13140747176369,6.38,-2.62477212294165,29.8661330649563,0,0,1
2021-04-01,3246433.88,-18.795405557924383,133.09263333333334,1.5573536787088393,9.68959249192875,5.13140747176369,6.38,-2.62477212294165,29.8661330649563,0,0,2
2021-07-01,3589178.26,10.036615315294029,135.5532,1.8318806178547753,9.68959249192875,5.13140747176369,6.38,-2.62477212294165,29.8661330649563,0,0,3
2021-10-01,3821878.3,6.28187239802056,138.08723333333333,1.8521427862915552,9.68959249192875,5.13140747176369,6.38,-2.62477212294165,29.8661330649563,0,0,4
2022-01-01,4078025.05,6.487081150685725,138.124,0.026622137296961057,7.60936497768895,6.69903414079852,4.822,-3.57218774082861,29.8126610526337,0,0,1
2022-04-01,3685125.07,-10.13083494865672,141.72303333333335,2.5722851048249673,7.60936497768895,6.69903414079852,4.822,-3.57218774082861,29.8126610526337,0,0,2
2022-07-01,4141000.0,11.66328391995819,143.74296666666666,1.4152067469181517,7.60936497768895,6.69903414079852,4.822,-3.57218774082861,29.8126610526337,0,0,3
2022-10-01,4019000.0,-2.990418909636716,145.90973333333332,1.4961414719397048,7.60936497768895,6.69903414079852,4.822,-3.57218774082861,29.8126610526337,0,0,4
2023-01-01,4362000.0,8.189755231237328,146.46063333333333,0.37685122350552547,9.19075493028345,5.64914318907925,4.172,-2.09544672104786,30.9390060732482,0,0,1
2023-04-01,4036081.0,-7.7656496113840845,148.8478,1.6167629474026057,9.19075493028345,5.64914318907925,4.172,-2.09544672104786,30.9390060732482,0,0,2
2023-07-01,4151027.0,2.80816018409098,152.92430000000002,2.701872033821129,9.19075493028345,5.64914318907925,4.172,-2.09544672104786,30.9390060732482,0,0,3
2023-10-01,4443622.0,6.811403614734779,152.88756666666666,-0.024023484706692244,9.19075493028345,5.64914318907925,4.172,-2.09544672104786,30.9390060732482,0,0,4
2024-01-01,4724000.0,6.118608868126252,153.14466666666667,0.16802155621649106,6.49476552383821,4.95303550973656,4.173,-2.32560140279504,30.268447331199,0,0,1
