,gdp_level,gdp_growth,cpi_level,cpi_growth,wb_gdp_growth_pct,wb_cpi_inflation_pct,wb_unemployment_pct,wb_trade_bal_gdp_pct,wb_gross_savings_pct,recession,covid_shock,quarter,gdp_growth_lag1,gdp_growth_lag2,gdp_growth_lag3,gdp_growth_lag4,cpi_growth_lag1,cpi_growth_lag2,wb_gdp_growth_pct_lag1,wb_gdp_growth_pct_lag2,wb_cpi_inflation_pct_lag1,wb_cpi_inflation_pct_lag2,wb_unemployment_pct_lag1,wb_unemployment_pct_lag2,wb_trade_bal_gdp_pct_lag1,wb_trade_bal_gdp_pct_lag2,wb_gross_savings_pct_lag1,wb_gross_savings_pct_lag2,gdp_growth_roll2_mean,gdp_growth_roll2_std,gdp_growth_roll4_mean,gdp_growth_roll4_std,gdp_growth_yoy
2015-01-01,2783733.23,5.076382715447636,97.03538666666668,0.2631641837527176,7.99625378571471,4.90697344127256,7.629,-2.29653555305562,32.4539241111902,0,0,1,3.214659561907673,1.0392808603153725,-2.459765577615869,3.9597992871941656,0.1318388072753862,3.490277245829088,7.41022760508854,7.41022760508854,6.66565671867899,6.66565671867899,7.656,7.656,-2.98625973083243,-2.98625973083243,33.4660257489805,33.4660257489805,2.126970211111523,1.5382250315447008,1.4384935329503357,2.8790937995551005,6.870557560054813
2015-04-01,2728278.58,-2.012206178764941,98.82053,1.8229653717410697,7.99625378571471,4.90697344127256,7.629,-2.29653555305562,32.4539241111902,0,0,2,5.076382715447636,3.214659561907673,1.0392808603153725,-2.459765577615869,0.2631641837527176,0.1318388072753862,7.99625378571471,7.41022760508854,4.90697344127256,6.66565671867899,7.629,7.656,-2.29653555305562,-2.98625973083243,32.4539241111902,33.4660257489805,4.145521138677655,1.3164370665601117,1.7176393900137032,3.2369280024737,7.31811695890574
2015-07-01,2768087.1,1.4485650487582546,101.11573333333332,2.2960358725518937,7.99625378571471,4.90697344127256,7.629,-2.29653555305562,32.4539241111902,0,0,3,-2.012206178764941,5.076382715447636,3.214659561907673,1.0392808603153725,1.8229653717410697,0.2631641837527176,7.99625378571471,7.99625378571471,4.90697344127256,4.90697344127256,7.629,7.629,-2.29653555305562,-2.29653555305562,32.4539241111902,32.4539241111902,1.5320882683413475,5.012389276141363,1.829529239726435,3.0465317455034913,7.727401147348623
2015-10-01,2836387.39,2.437469263812453,103.0284,1.873894296342904,7.99625378571471,4.90697344127256,7.629,-2.29653555305562,32.4539241111902,0,0,4,1.4485650487582546,-2.012206178764941,5.076382715447636,3.214659561907673,2.2960358725518937,1.8229653717410697,7.99625378571471,7.99625378571471,4.90697344127256,4.90697344127256,7.629,7.629,-2.29653555305562,-2.29653555305562,32.4539241111902,32.4539241111902,-0.2818205650033432,2.44713480311694,1.9318502868371557,3.0178816994702613,6.950210849253402
2016-01-01,3036737.91,6.825268669889972,102.51833333333332,-0.4963034005735167,8.25630550179086,4.94821634062141,7.611,-1.76601589208677,31.7264147403683,0,0,1,2.437469263812453,1.4485650487582546,-2.012206178764941,5.076382715447636,1.873894296342904,2.2960358725518937,7.99625378571471,7.99625378571471,4.90697344127256,4.90697344127256,7.629,7.629,-2.29653555305562,-2.29653555305562,32.4539241111902,32.4539241111902,1.9430171562853538,0.6992608764087759,1.7375527123133505,2.9315453592374454,8.699096803695738
2016-04-01,2965087.78,-2.3877245952636628,104.941,2.3356643094756717,8.25630550179086,4.94821634062141,7.611,-1.76601589208677,31.7264147403683,0,0,2,6.825268669889972,2.437469263812453,1.4485650487582546,-2.012206178764941,-0.4963034005735167,1.873894296342904,8.25630550179086,7.99625378571471,4.94821634062141,4.90697344127256,7.611,7.629,-1.76601589208677,-2.29653555305562,31.7264147403683,32.4539241111902,4.631368966851213,3.102642714523719,2.1747742009239346,3.640251453518859,8.323578387197017
2016-07-01,3035755.83,2.3553793990194194,106.47113333333334,1.4475612427915507,8.25630550179086,4.94821634062141,7.611,-1.76601589208677,31.7264147403683,0,0,3,-2.3877245952636628,6.825268669889972,2.437469263812453,1.4485650487582546,2.3356643094756717,-0.4963034005735167,8.25630550179086,8.25630550179086,4.94821634062141,4.94821634062141,7.611,7.611,-1.76601589208677,-1.76601589208677,31.7264147403683,31.7264147403683,2.2187720373131548,6.514570012816127,2.0808945967992543,3.7861426711791046,9.230392737458182
2016-10-01,3079621.61,1.4346304144279287,105.83356666666668,-0.6006165509274908,8.25630550179086,4.94821634062141,7.611,-1.76601589208677,31.7264147403683,0,0,4,2.3553793990194194,-2.3877245952636628,6.825268669889972,2.437469263812453,1.4475612427915507,2.3356643094756717,8.25630550179086,8.25630550179086,4.94821634062141,4.94821634062141,7.611,7.611,-1.76601589208677,-1.76601589208677,31.7264147403683,31.7264147403683,-0.016172598122121684,3.353880998230565,2.3075981843645454,3.762736245625602,8.227553888073658
2017-01-01,3227728.31,4.697184465660165,104.941,-0.84694469186406,6.79538341897911,3.32817337461298,7.626,-3.15896727592607,31.7067531706123,0,0,1,1.4346304144279287,2.3553793990194194,-2.3877245952636628,6.825268669889972,-0.6006165509274908,1.4475612427915507,8.25630550179086,8.25630550179086,4.94821634062141,4.94821634062141,7.611,7.611,-1.76601589208677,-1.76601589208677,31.7264147403683,31.7264147403683,1.895004906723674,0.6510678507752656,2.0568884720184144,3.7845447525889813,6.09946968384385
2017-04-01,3146336.28,-2.553988998467638,106.47113333333334,1.4475612427915507,6.79538341897911,3.32817337461298,7.626,-3.15896727592607,31.7067531706123,0,0,2,4.697184465660165,1.4346304144279287,2.3553793990194194,-2.3877245952636628,-0.84694469186406,-0.6006165509274908,6.79538341897911,8.25630550179086,3.32817337461298,4.94821634062141,7.626,7.611,-3.15896727592607,-1.76601589208677,31.7067531706123,31.7264147403683,3.0659074400440467,2.306974093613956,1.5248674209609625,2.94787293827037,5.933205280639875
2017-07-01,3197195.49,1.6035325945301435,109.0214,2.367029333821691,6.79538341897911,3.32817337461298,7.626,-3.15896727592607,31.7067531706123,0,0,3,-2.553988998467638,4.697184465660165,1.4346304144279287,2.3553793990194194,1.4475612427915507,-0.84694469186406,6.79538341897911,6.79538341897911,3.32817337461298,3.32817337461298,7.626,7.626,-3.15896727592607,-3.15896727592607,31.7067531706123,31.7067531706123,1.0715977335962634,5.127353928044717,1.4833013201599687,3.0216798320639677,5.181358476150599
2017-10-01,3284991.66,2.709009696111764,109.78643333333332,0.6992770223192224,6.79538341897911,3.32817337461298,7.626,-3.15896727592607,31.7067531706123,0,0,4,1.6035325945301435,-2.553988998467638,4.697184465660165,1.4346304144279287,2.367029333821691,1.4475612427915507,6.79538341897911,6.79538341897911,3.32817337461298,3.32817337461298,7.626,7.626,-3.15896727592607,-3.15896727592607,31.7067531706123,31.7067531706123,-0.47522820196874715,2.939811711338226,1.2953396190376498,2.9723315204207785,6.455737757834434
2018-01-01,3516058.35,6.797646212779895,109.91393333333332,0.1160671839087967,6.45385134497769,3.9388264669163,7.652,-3.76131213467656,31.4104922311412,0,0,1,2.709009696111764,1.6035325945301435,-2.553988998467638,4.697184465660165,0.6992770223192224,2.367029333821691,6.79538341897911,6.79538341897911,3.32817337461298,3.32817337461298,7.626,7.626,-3.15896727592607,-3.15896727592607,31.7067531706123,31.7067531706123,2.1562711453209538,0.7816903549748079,1.6139344394586086,3.0592654088086086,8.556199504954165
2018-04-01,3382300.83,-3.8784378402571207,110.67900000000002,0.6936484525503772,6.45385134497769,3.9388264669163,7.652,-3.76131213467656,31.4104922311412,0,0,2,6.797646212779895,2.709009696111764,1.6035325945301435,-2.553988998467638,0.1160671839087967,0.6992770223192224,6.45385134497769,6.79538341897911,3.9388264669163,3.32817337461298,7.652,7.626,-3.76131213467656,-3.15896727592607,31.4104922311412,31.7067531706123,4.75332795444583,2.8911026067429804,2.1390498762385413,3.844423088996068,7.231750663164682
2018-07-01,3403644.19,0.6290481374977119,115.1419,3.953116093978704,6.45385134497769,3.9388264669163,7.652,-3.76131213467656,31.4104922311412,0,0,3,-3.8784378402571207,6.797646212779895,2.709009696111764,1.6035325945301435,0.6936484525503772,0.1160671839087967,6.45385134497769,6.45385134497769,3.9388264669163,3.9388264669163,7.652,7.652,-3.76131213467656,-3.76131213467656,31.4104922311412,31.4104922311412,1.4596041862613873,7.549131430420034,1.8079376657911705,4.400218555809153,6.25726620613225
2018-10-01,3489760.89,2.4986542752467145,115.3969,0.2212209866579328,6.45385134497769,3.9388264669163,7.652,-3.76131213467656,31.4104922311412,0,0,4,0.6290481374977119,-3.8784378402571207,6.797646212779895,2.709009696111764,3.953116093978704,0.6936484525503772,6.45385134497769,6.45385134497769,3.9388264669163,3.9388264669163,7.652,7.652,-3.76131213467656,-3.76131213467656,31.4104922311412,31.4104922311412,-1.6246948513797044,3.1872739009737145,1.5643165515330626,4.442085250351644,6.046910785267201
2019-01-01,3717210.04,6.314017668187155,117.69203333333331,1.969383513928591,3.87143694070356,3.72950573539129,6.51,-2.57687373613013,29.7022005792949,0,0,1,2.4986542752467145,0.6290481374977119,-3.8784378402571207,6.797646212779895,0.2212209866579328,3.953116093978704,6.45385134497769,6.45385134497769,3.9388264669163,3.9388264669163,7.652,7.652,-3.76131213467656,-3.76131213467656,31.4104922311412,31.4104922311412,1.5638512063722132,1.3220111781503068,1.5117276963168003,4.425229423435279,5.563282240674461
